Page ID,Page name,Disclaimer,Amount spent (INR)
110805878124767,Yogesh parv - योगेश पर्व,Vipul Nagnath Jadhav,≤100
1924627484438235,Arlak Ayurveda,Swati Dhiman,≤100
1376050752425437,Vinod Mishra,Abhishek Krushnakumar Jha,≤100
100700742258581,Advocate Yashpal Sharma,Yashpal Sharma,≤100
104451779129218,Sudheer Kumar Shukla,These ads ran without a disclaimer,≤100
283366758968671,Kumbh Singh Patawat Luna,Engitech Media,≤100
304168753787735,Mohan Singh Rathore,Mohan Singh Rathod,≤100
107307305300554,Karagiri Mallikarjuna Reddy,Mallikarjuna Reddy Karagiri,≤100
100485426184353,Rashtriya Uttar Bhartiya Samaj Party - Delhi,Manoj Kumar Singh,≤100
365389330603692,TIP Sessions : Coastal Edit,TIP SESSIONS,≤100
110041803678379,Kabir Shankar Bose,Kabir Shankar Bose,≤100
101038361392185,Dharmender Kumar,Naveen Kumar Verma,≤100
105999155405710,Pandit Avadh Sharma,Pawan Kumar Sharma,≤100
774085386059198,Voice Of Healthcare,Sandesh Kumar Chahar,≤100
528144820729879,Pramod Sehwag,Vikas Kumar,≤100
1932900346831325,Rajesh D Sanghvi,Rajesh Dineshchandra Sanghvi,≤100
150727778825020,Mobius Foundation,Mobius Foundation,≤100
186199704897466,RD Foundation,RD Foundation,≤100
102818307824921,Sunil Jindal - BJP Vikaspuri Vidhan Sabha,Gulshan Soni,≤100
565714670143123,Ashok Saini,Engitech Media,≤100
490167811006821,Neena Vikram Verma,Yuvau Digital,≤100
100452136229191,Shyam Sundar Verma - Chairman Khalilabad,Nityesh Srivastava,≤100
107069552104307,Bandi Sanjay - Future of Telangana,Prafful Gyanchandani,≤100
1607404612875963,Shankar Gora,Engitech Media,≤100
100358095283850,MD. Ibne Amir Zill Ekram,E A Z Zalal Walekram,≤100
1970133126569121,Rajesh Gohil MLA,Gohil Mayank Rajeshkumar,≤100
138636842959151,Gyasuddin Shaikh,Navnit,≤100
109587931825857,climatechange1.5,These ads ran without a disclaimer,≤100
234704393876570,Dr R K Verma,Rkverma,≤100
1065727510129084,Datta kulkarni - दत्ता कुलकर्णी,Datta Kashinath Kulkarni,≤100
100284852406288,Janata Dal United - Muzaffarpur,Janata Dal (United),≤100
643001122724792,Shambhu Kumar,Punit Kumar Pandav,≤100
286437648137325,L.A.Ravi Subramanya,Sharva Creative Communications,≤100
273332066175444,Abhinandan Educational and Welfare Society,Ashish  Chauhan,≤100
509680612544315,Dr.Sanjeev Kumar,Dr.Sanjeev Kumar,≤100
103751925881995,Thebeautyinflaws,These ads ran without a disclaimer,≤100
294529347608828,Rishikesh Upadhyay,Rishikesh Upadhyay,≤100
485798311796335,Patel Prabhat Verma MLA,Ankaj Tiwari,≤100
385658441549334,Deepak Bhati Chotiwala,Dipak Bhati,≤100
1436053929837684,Mahendra Singh Shekhawat,Rakesh Kumar Sharma,≤100
2089546314695980,Savita Pawan Sharma,Mahender Pratap,≤100
187873361569866,Nand Ghar,Aman Prakash,≤100
221208474563613,Braham Singh,Anshuman Singh,≤100
103384352468278,Bharat Aaj,Shubham Garg,≤100
1644165492504830,Ramoji Gowda,Ramoji Gowda,≤100
110613061629801,Ufos World,Prashant Kumar,≤100
1433075113609108,Rakhee Rathore,Mukesh Kumar Yadav,≤100
102496789080667,Raghavendra_rgs,Raghavendra G S,≤100
326770580739640,Revive Israel Tikkun Global,These ads ran without a disclaimer,≤100
241940555912671,Chandigarh University,Chandigarh University,≤100
807511966269540,Arshad Hussain,Ashish Singh,≤100
102351648972541,Ravi Kumar Mishra,Ravi Kumar Mishra,≤100
847679485574721,B.Janardhan Reddy,Janardhan Reddy Bekkary,≤100
754714701264201,WaterAid India,These ads ran without a disclaimer,≤100
101068759508571,Ganesh Kumar Agarwal,Ganesh Kumar Agarwal,≤100
100417006046204,Nayan Kumar,Nayan Kumar,≤100
103618388224409,Dr. Omkar Herlekar,Magicwork Inc,≤100
1929823443694918,Pardeep Lohan,Pardeep Kumar,≤100
106239365651585,અલ્પેશ સૌના છે,Kuldip Manubhai Patel,≤100
112061804808512,Sports Development Authority of Bihar - SDAB,Ajit Kumar,≤100
129952997339452,Rajendra Maske,Rajendra Tukaram Maske,≤100
100766795424041,मोदी योगी समर्थक,Nikhil Aggarwal,≤100
212994587376752,Shiv Pratap Rajput,Badri Narayan Jangid,≤100
305754383582665,Bhosle Mohan Rao Patil,Taslasoft Private Limited,≤100
102848075943324,Health-e,These ads ran without a disclaimer,≤100
100166519454273,II CARE,Rohitkumar Narayan Shinde,≤100
113123373786875,MLA Devender Nim,Anshul Sharma,≤100
110046725117316,Safeer Choudhary,Ashish Sapolia,≤100
1545884642352465,Mahendrasinhvaghela,Navnit,≤100
224787738121110,Manan Dani,Mananbhai Jatinkumar Dani,≤100
103249569186257,We Support KP Maurya,Deepak Pal,≤100
179765292047054,Manickam Tagore,Kathiresan K,≤100
100502312031923,Surendra Pathare,Maithili B Godbole,≤100
103443372396602,MLA Dr Raghu Sharma,Kanishk Bansal,≤100
1171462299729165,Sandeep Singh Deswal,Navdeep Sehrawat,≤100
100614352313120,Ajeet Singh Sengar,Ashish Sharma,≤100
