Page ID,Page name,Disclaimer,Amount spent (INR)
1576238072608615,Keda Tanaji Aher,Keda Tanaji Aher,≤100
333426070147135,Benny Kuriakose Associates,Benny Kuriakose Associates,≤100
2013822252212541,S.F Traders,These ads ran without a disclaimer,≤100
109833171566377,shree_satyanarayan_parivar,These ads ran without a disclaimer,≤100
307532336099475,Makarand Narwekar,Makarand Narwekar,≤100
1216475658439886,Sandesh Kumar Shetty,Sandesh Kumar Shetty,≤100
106456887722695,Adesh Yadav BJP,Adesh Yadav BJP,≤100
113858681342028,Dr. Anjali Yadav,Dr. Anjali Yadav,≤100
1799519200160117,Jugaadkings.com,jugaadkings.com,≤100
1718123505168458,K.K. Vishnoi,Engitech Media,≤100
153887384672062,Doctors Without Borders / Médecins Sans Frontières,These ads ran without a disclaimer,≤100
117221101343678,Kharge Fan Club,INC,≤100
323842281093275,Swaranjali Entertainment,These ads ran without a disclaimer,≤100
427403747352620,Tarun Jain page,Tarun Jain page,≤100
105646032180920,Vaddiraju RaviChandra,Vaddiraju RaviChandra,≤100
105671775473178,Jan Suraaj,Jan Suraaj,≤100
103842718195433,राज्य पेयजल एवं स्वच्छता मिशन उत्तर प्रदेश,These ads ran without a disclaimer,≤100
104537962616170,BJP Prachar,BJP Prachar,≤100
106593675385765,MLA Kulwant Singh Bazigar,MLA Kulwant Singh Bazigar,≤100
395910177835208,Vijay Kumar Singh Congress,Vijay Kumar Singh Congress,≤100
110132160741768,Polstrat,Polstrat Communication,≤100
975067502615074,Modi fan,Keyword India Network Pvt. Ltd.,≤100
110015738755641,Rajasthan Reporter,These ads ran without a disclaimer,≤100
761826677309909,Bhupinder Lather,Book My Promo,≤100
105482168907459,Aajneeti.social,Aajneeti.social,≤100
106958099087384,Sandeep,These ads ran without a disclaimer,≤100
