Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
106742597803436,Vitor Sales Jundiaí,Vitor Sales,≤100,1
251235795032635,Itamar Borges,Itamar Borges,≤100,12
1061862380519257,NOVO Paraná,NOVO Paraná,≤100,3
495853807136270,Thiago Silva,Thiago Alexandre Rodrigues da Silva,≤100,5
283520355490994,Evo Brasil Energia,Lillyan Marra,≤100,4
260205817453415,Cássio Soares,Cássio Soares,≤100,5
157912844276400,Governo da Bahia,These ads ran without a disclaimer,≤100,1
290806927696314,Júnior da Saúde,Manoel Miguel Dos Santos Junior,≤100,2
1082805205172897,Zé Vitor,Zé Vitor,≤100,1
100868962285299,Personal Marcelo Schroeder,Personal Marcelo Schroeder,≤100,1
280413655431834,AMB - Associação Médica Brasileira,Associação Médica Brasileira,≤100,2
118576168246679,SIMPE RS,Sindicato dos Servidores do Ministério Público do Rio Grande do Sul,≤100,2
105253075174638,Calçados da Fabrica,These ads ran without a disclaimer,≤100,2
110140661981434,Enio Portela,Enio Portela,≤100,1
211334236088748,Welton Lemos,Welton De Oliveira Lemos,≤100,2
104202885922538,Marco Aurélio Filho,Diogo Stanley Vasconcelos De Farias,≤100,18
271242366375666,Edson Giriboni,Edson Giriboni,≤100,1
107153947314890,Isaac Martins 2022,ISAAC AFONSO MARTINS,≤100,2
104474941479719,Programa Sanear Santo André,Semasa Santo André,≤100,5
1694466497503344,Mutirão no Bem,These ads ran without a disclaimer,≤100,2
