Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
258965575007617,हुल्लड़,Harish Rasgotra,1260,12
105206415541364,Hasdeo Ka Sach,Hasdeo Ka Sach,1260,18
276512419511205,Kathi Karthika,Policy Briefcase,1255,4
111250540374218,Rajendra Dhirajpura,Khem Chand Yadav,1247,2
105694514269834,North Eastern Region Community Resource Management Society,Shrinivas Ravichandran Nadar,1240,16
544920495569144,CP Joshi,CP Joshi,1239,2
114048804917784,Hanuman Ki Hunkar - हनुमान की हुंकार,Hanuman Ki Hunkar,1236,3
667560657014524,Mahendra Singh Solanki,Nitesh Tiwari,1188,2
994578073995343,B. L. Verma,Sourabh Arvind Dubey,1184,7
285530825204,Klitschko,These ads ran without a disclaimer,1163,4
116574872487500,Wonder Home Finance,Wonder Home Finance,1158,1
109354741887336,Udhay Anna - உதய் அண்ணா,Udhay Anna - உதய் அண்ணா,1150,10
109586651515894,Bipin Yadav,Narayana Digital Technologies,1148,1
135180180340322,Jitendra Verma,Arshad Ansari,1139,2
922534064468145,Capt. Meenu Beniwal,Jasvinder,1135,2
108923581963430,Nirmamata,nirmamata.com,1112,31
116006448044854,Manjanna for Minister,Manjanna for Minister,1110,1
30290552843,Greenpeace India,Greenpeace Environment Trust,1101,5
106517211279292,Rajesh Katewa,Rajesh Katewa,1092,1
273392482699081,Rajendra Patni,Gyayak Patni,1083,2
105358895409069,Rajendra kumar maurya,Vipin Kumar Singh,1080,1
321849925071414,Dr. Parthasarathi,P V Parthasarathi,1078,2
107662551383404,Adore happy homes Pride,Aggarwal Buildtech,1077,1
117220534589792,Hunsur abhivrudhige namma manjanna / ಹುಣಸೂರು ಅಭಿವೃದ್ಧಿಗೆ ನಮ್ಮ ಮಂಜಣ್ಣ,Srinivas Kini,1076,1
1377504785814382,Krishna School Kosli,These ads ran without a disclaimer,1076,2
577856385582447,Raghu Sharma,Kanishk Bansal,1075,3
112061804808512,Sports Development Authority of Bihar - SDAB,Ajit Kumar,1052,5
102715296085726,Neta Ji,Deepak Mehla,1051,2
101056732504706,Punjab BOLDA -Television,Gursharan Singh Sandhu,1051,5
533230777181565,Dr. Sudhanshu,Sudhanshu  Sharma,1047,1
756444751061088,Chandrashekhar,Dhananjay Awasthi,1034,1
2205544183064603,Surender Panwar,Ashish Sakhuja,1034,10
111127021583375,Jannapureddy Surender Reddy,Jannapureddy Surender Reddy,1031,1
1932900346831325,Rajesh D Sanghvi,Rajesh Dineshchandra Sanghvi,1030,10
201297423396745,Rajendra Agarwal,Ishan Agarwal,1027,2
592025620827002,Choudhary Lal Singh,Divya Suraj Partap Singh,1021,1
375141272567406,Ravindra Chavan,Rushikesh Abhijit More,1018,2
104663008973111,मैं मिथिला हूँ,Summit Polcom,1014,1
339835596096353,Satish Poonia,Choudhary Ramesh Chaudhary,1014,2
1582832635365396,Umed Singh Dhull Sher Jaat,Sanjay Tiwari,1008,5
449378495112356,Swades Foundation,Swades Foundation,1004,1
104394869237035,Gali Lakshmi Aruna,Sai Kishor Thatikanti,1000,1
108250642203199,Gali Janardhana Reddy,Sai Kishor Thatikanti,1000,1
100223186295623,Kalyana Rajya Pragathi Paksha,Sai Kishor Thatikanti,1000,1
132309676835568,Lokmat,Pranoti Vasant Dalvi,997,2
