Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
908169412659988,Bogdan Grecia,Bogdan Grecia,≤100,1
104271032024822,Rata Florin-Tudor,Rata Florin-Tudor,≤100,1
104516198809853,Transtelex.ro,Van Másik Média SRL,≤100,1
111568014776093,Stefan Cojanu,USR Ilfov,≤100,2
1156150484398630,MozaiQ,MozaiQ,≤100,1
104894549147689,Constanta Veche,Constanta Veche,≤100,1
101983854866860,DigiPres,DIGIPRES.RO,≤100,1
349546472577,Eco-Rom Ambalaje,These ads ran without a disclaimer,≤100,1
552203444833617,e.on,These ads ran without a disclaimer,≤100,1
102841911189961,USR Hălchiu,USR Brasov,≤100,1
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,1
204564332928305,National Geographic Magazin Magyarország,These ads ran without a disclaimer,≤100,1
101463372331961,Julianny Priscyla Cursos,These ads ran without a disclaimer,≤100,1
45413563867,The Free and Equal Elections Foundation,These ads ran without a disclaimer,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,6
100933309466216,Mundo de las mascotas,These ads ran without a disclaimer,≤100,1
406105696083331,VuPlex,These ads ran without a disclaimer,≤100,1
