Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
311766890555,Fundacja Batorego,Fundacja Batorego,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,1
100322108148291,Ostróda 2023,Krystyna Siemieńska,≤100,2
101830548210163,Piotr Moskała - Przewodniczący Rady Dzielnicy III Prądnik Czerwony,Piotr Moskała,≤100,1
154109174794801,Polska Telewizja Regionalna - PTVR Telewizja Dębica,Polska Telewizja Regionalna PTVR,≤100,1
1599655186922126,Włącz oszczędzanie,Łukasz Tadeusz Pająk,≤100,1
1914501645469702,Otwarta Przestrzeń - centrum terapii,Fundacja Instytut Otwarta Przestrzeń,≤100,1
1429158077312909,Łukasz Sęk Radny Miasta Krakowa,Łukasz Bartłomiej Sęk,≤100,1
104208432259972,Ommio.volunteers,Aga Gasior,≤100,2
100996888771786,Z ostatniej chwili,These ads ran without a disclaimer,≤100,1
103400032276622,Kurier Gdyński,Michał Kowalski,≤100,1
475003269590039,Radca prawny Tomasz Plasota,Aleksandra Adamczewska,≤100,1
107391557718443,Arkadiusz Masłowski,Arkadiusz Masłowski,≤100,1
108839765250901,Piotr Bartoszewski,Piotr Bartoszewski,≤100,1
146910095369293,Białostocki Ośrodek Kultury,Białostocki Ośrodek Kultury,≤100,1
106035928645639,Kurier Powiatu Kartuskiego,Michał Kowalski,≤100,1
996910420348347,"Polsza.Info переводчик, нотариус, юрист, страховки",Polsza.info sp. z o.o.,≤100,1
1624944414400266,Gmina Siechnice,Gmina Siechnice,≤100,1
714003515334353,NOWA STACJA,Nowa Stacja Pruszków,≤100,1
362731483842344,Agro Trust - Skup i  #𝐖𝐢𝐚𝐝𝐨𝐦𝐨ś𝐜𝐢𝐙𝐛𝐨ż𝐨𝐰𝐞,Marcin Robert Witzling,≤100,1
1402012100098838,Twój Kurier Olsztyński - TKO.pl,WAMA Media Group,≤100,1
102036617851494,elina_brevnova,These ads ran without a disclaimer,≤100,3
946445192119512,Krajowy Sztab Ratownictwa SKSR,Jerzy Płókarz,≤100,1
