Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
103351141466638,Campo Elías Ramírez,Campo Elías Ramírez,55423,53
664142747350164,Tatiana López Saldarriaga,Tatiana López Saldarriaga,53917,11
152357555295342,Wilker Bautista,Wilker Bautista,53715,2
1072384636295680,Gobernador Salomón Sanabria,Gobernador Salomón Sanabria,53163,1
172972820196280,Que vuelva Jacobo,Que vuelva Jacobo,51540,2
112602178102955,Victor Angulo,Victor Angulo,51513,2
629265973883892,Alcaldía de La Estrella,Alcaldía de La Estrella,49745,7
263044047137195,Ambiente Bogotá,Ambiente Bogotá,48875,7
838927469815494,Diana Diago,Diana Diago,48572,5
104313676026273,Luis Carlos Guevara Montilla,Agencia de Publicidad del Putumayo,48052,5
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,48041,2
100862467976065,Andrés Fandiño,Andrés Fandiño,47925,2
416201871913815,Adolfo Romero,Adolfo Romero,46753,7
1683544555207079,Rafael Martínez,These ads ran without a disclaimer,44264,1
232287230205457,IDU Bogotá,Instituto de Desarrollo Urbano : IDU,44190,3
222289777922346,Héctor Olimpo,Héctor Olimpo,43810,3
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,43635,3
1737937156478529,Carlos Felipe López López,Carlos Felipe López López,43288,2
420844811422014,Vive El Meta,Vive El Meta,41375,5
969143216462972,Felipe Cañizalez,Felipe Cañizalez,40825,2
1400280116941194,Fabian Diaz,Fabian Diaz,40278,6
472245809650733,Marco Tulio Ruíz,Marco Tulio Ruíz,40240,1
2280357942291111,Luis Carlos Velásquez,Luis Carlos Velásquez,39956,6
1648414861893438,Carlos Diago Alzate,Carlos Diago Alzate,39628,16
100207228040743,Secretaria de cultura de Neiva,Secretaria de cultura de Neiva,39353,2
1147318942107929,Todos Somos Una,DEBRAIN LLC,38700,2
812165288875574,Jaime Pumarejo,Toro Digital 1972,38678,2
129340816734877,Consuelo berraca,Consuelo berraca,38382,1
581095835894514,Noticentro 1 CM&,Noticentro 1 CM&,37259,6
101714389295533,CIB El Arte de la Belleza,These ads ran without a disclaimer,37083,1
103723022353836,Secretaría de Turismo de Antioquia,Secretaría de Turismo Antioquia,36512,2
517994638230687,Gobernación de Sucre,Gobernación de Sucre,35682,2
100650573021198,David Navas Regino,David Navas Regino,35516,3
358585651153711,Islabela,Islabela,35246,1
110535195344117,carlos_osoriof,These ads ran without a disclaimer,35141,1
102739846159920,Lucho García,Lucho García,34042,12
191263491518292,Darío Vásquez Sánchez,These ads ran without a disclaimer,34021,1
111392951598037,Farid Ospina,Farid Ospina,33740,10
499976616711322,Richy Gómez,Richy Gomez,33739,6
832088667125644,Andres Trujillo,Andres Trujillo,32028,1
111959430353692,Carime Rodríguez,Carime Rodríguez,31482,3
112862045072151,Jhair Manrique,Jhair Manrique,31409,2
103084375858203,Mi Campaña Aplicación,Mi Campaña Aplicación,31077,12
153803541354412,Unibán Fundación,Unibán Fundación,31046,7
365042347704443,CP Carlos Padilla,Carlos Padilla,30360,2
1077639112424983,Tatiana Valeta Lambraño,Tatiana Valeta Lambraño,30114,5
391201314564929,Elkin Zuleta Concejal,Elkin Zuleta Concejal,30000,3
438113889610097,Hosman Yaith Martínez Moreno,Hosman Yaith Martínez Moreno,30000,23
504307236411761,Lucas Cañas,Lucas Cañas,29648,2
